שם ישוב,סמל ישוב,בעלי זכות בחירה,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
ראס אל-עין,1334,135,82,80,2,56,6,0,13,1
ראס עלי,990,246,196,0,196,0,0,0,0,0
ראש העין,2640,24176,16454,16255,199,20,3916,4819,3797,3019
ראש פינה,26,1836,1228,1227,1,7,566,185,351,35
ראש צורים,3602,231,192,192,0,0,6,175,1,3
ראשון לציון,8300,175653,108053,106496,1557,87,30377,27781,34677,7998
רבבה,3795,292,278,278,0,0,1,269,1,7
רבדים,564,365,244,243,1,1,195,7,26,2
רביבים,354,665,415,412,3,1,283,24,86,2
רגבה,390,562,413,408,5,1,235,14,139,2
רגבים,444,323,176,175,1,0,125,6,27,4
רהט,1161,16531,9865,9580,285,6737,1289,96,1132,137
רווחה,2051,335,207,205,2,1,18,92,10,84
רוויה,2016,186,109,109,0,0,26,32,8,42
רוחמה,362,449,284,282,2,0,218,5,46,2
רומאנה,539,419,361,361,0,315,9,35,2,0
רומת הייב,997,873,244,243,1,45,115,8,42,21
רועי,3619,165,137,136,1,0,19,60,50,4
רחוב,854,231,134,134,0,0,26,57,20,31
רחובות,8400,84080,52628,51789,839,84,13542,16024,12450,6607
ריחאניה,540,730,469,460,9,18,271,42,67,57
ריחן,3568,97,60,59,1,0,18,17,18,1
ריינה,542,7620,3933,3824,109,3142,356,17,252,9
רימונים,3565,391,265,261,4,0,33,144,67,4
רינתיה,616,523,386,383,3,1,126,82,111,31
רכסים,922,4193,3299,3267,32,0,133,335,156,2603
רם-און,1069,433,350,350,0,0,165,24,125,2
רמות,4702,433,286,284,2,0,105,21,123,1
רמות השבים,206,824,614,610,4,0,267,33,246,8
רמות מאיר,735,422,277,272,5,0,129,53,66,10
רמות מנשה,445,481,342,342,0,2,251,6,55,1
רמות נפתלי,372,368,287,285,2,0,113,57,83,19
רמלה,8500,46359,24685,24047,638,3084,4036,6739,4218,5064
רמת אפעל,1049,2468,1861,1846,15,4,687,224,826,24
רמת גן,8600,113901,70992,70088,904,168,24111,16284,21195,4621
רמת דוד,135,390,239,238,1,1,147,13,60,1
רמת הכובש,184,563,418,415,3,1,249,19,123,1
רמת השופט,335,529,327,325,2,0,234,12,60,1
רמת השרון,2650,31426,21994,21782,212,52,7927,2665,8293,1569
רמת יוחנן,178,636,421,418,3,0,267,15,102,2
רמת ישי,122,3874,2686,2657,29,6,992,417,995,71
רמת מגשימים,4701,381,301,300,1,0,9,268,4,9
רמת פנקס,883,443,295,291,4,1,79,63,48,92
רמת צבי,339,338,230,228,2,0,111,17,81,0
רמת רזיאל,460,324,219,216,3,1,81,50,60,8
רמת רחל,127,288,225,223,2,0,125,16,63,8
רנן,789,271,131,129,2,0,68,12,45,2
רעים,713,302,220,220,0,0,171,5,23,0
רעננה,8700,57287,38216,37845,371,52,11727,8936,13059,1830
רקפת,1228,422,361,360,1,0,195,20,113,1
רשפון,247,706,542,532,10,1,198,38,233,4
רשפים,437,357,268,267,1,1,208,5,37,1
שאר ישוב,324,274,189,188,1,0,66,47,55,1
שבי ציון,282,623,433,429,4,1,177,51,159,2
שבי שומרון,3571,443,337,333,4,0,6,291,8,18
שבלי - אום אל-גנם,913,2766,1199,1170,29,526,413,11,44,13
שגב,917,605,444,443,1,0,264,19,130,12
שגב-שלום,1286,2228,1139,1112,27,830,100,11,120,11
שגור,516,15940,11069,10895,174,7442,1703,186,839,602
שדה אילן,721,286,225,223,2,0,16,158,30,13
שדה אליהו,304,541,373,371,2,0,28,266,38,3
שדה אליעזר,861,447,287,286,1,0,83,74,93,17
שדה בוקר,885,425,290,290,0,2,176,53,43,4
שדה דוד,36,308,185,181,4,0,70,28,29,48
שדה ורבורג,284,723,538,535,3,1,242,45,219,3
שדה יואב,293,198,137,137,0,3,109,1,20,0
שדה יעקב,142,341,285,284,1,0,37,196,24,5
שדה יצחק,2008,304,189,187,2,0,68,15,76,3
שדה משה,18,284,199,199,0,1,83,29,68,4
שדה נחום,259,241,159,159,0,0,98,10,39,2
שדה נחמיה,329,352,230,230,0,2,135,11,57,3
שדה ניצן,1058,292,159,159,0,2,104,13,31,2
שדה עוזיהו,739,705,394,393,1,2,52,127,77,105
שדה צבי,2049,189,114,111,3,0,26,25,23,33
שדות ים,327,552,414,408,6,2,256,14,83,7
שדות מיכה,27,228,141,139,2,0,48,19,14,58
שדי אברהם,1223,148,93,93,0,0,47,11,28,0
שדי חמד,2015,494,351,345,6,0,138,39,139,5
שדי תרומות,2057,324,151,148,3,0,15,73,34,25
שדמה,555,285,212,212,0,1,73,13,105,2
שדמות דבורה,306,345,251,250,1,0,115,37,83,0
שדמות מחולה,3578,267,209,209,0,0,3,197,0,5
שדרות,1031,15950,8738,8512,226,17,2302,3576,1006,1365
שואבה,741,353,253,253,0,0,95,63,73,11
שובה,761,272,172,169,3,0,29,70,8,62
שובל,394,541,381,377,4,0,257,23,81,3
שוהם,1304,9848,7771,7724,47,5,2407,1825,2852,241
שומרה,614,246,163,161,2,1,50,26,63,18
שוקדה,415,147,93,92,1,0,25,24,4,38
שורש,456,398,295,292,3,0,118,31,127,4
שורשים,1235,201,139,139,0,0,71,6,42,1
שושנת העמקים (רסק,224,400,227,224,3,0,90,38,43,38
שזור,527,233,159,158,1,0,75,35,37,10
שחר,7,362,238,238,0,0,82,40,82,29
שיבולים,865,234,165,161,4,0,19,102,8,30
שייח' דנון,658,1250,729,704,25,450,228,1,20,0
שילה,3641,1003,815,812,3,0,3,764,0,37
שילת,1165,261,203,203,0,0,101,20,57,3
שכניה,1160,350,260,259,1,0,142,33,64,0
שלווה,873,334,180,180,0,0,17,82,3,75
שלוחות,439,376,268,263,5,1,24,158,46,7
שלומי,812,4309,2610,2575,35,6,702,995,499,292
שמיר,366,511,361,359,2,0,235,10,89,2
שמעה,3784,189,127,126,1,1,28,40,42,7
שמרת,432,357,252,250,2,1,199,10,29,2
שמשית,1337,1072,899,898,1,0,447,69,320,5
שני,1287,345,171,169,2,0,32,72,44,11
שניר,1132,316,218,217,1,0,151,11,34,0
שעב,538,3219,2353,2319,34,1968,155,36,88,34
שעל,4009,239,149,149,0,1,42,63,24,9
שעלבים,856,395,347,346,1,0,9,254,3,72
שער אפרים,661,718,516,511,5,0,162,109,141,77
שער הגולן,264,486,367,366,1,0,250,8,85,0
שער העמקים,237,522,393,390,3,1,292,3,71,1
שער מנשה,921,192,4,3,1,0,1,0,1,1
שערי תקווה,3720,2517,1823,1808,15,0,264,1066,310,85
שפיים,232,770,587,584,3,3,425,11,109,3
שפיר,692,324,239,236,3,0,29,136,42,20
שפר,846,206,111,111,0,0,31,42,17,12
שפרעם,8800,19978,11626,11417,209,8104,1302,1282,597,39
שקד,3649,377,249,249,0,0,47,114,73,7
שקף,1233,245,184,183,1,0,41,74,55,3
שרונה,292,363,274,274,0,1,119,30,87,4
שריגים (לי-און),1114,558,402,401,1,6,236,32,93,14
שריד,126,608,429,424,5,1,291,6,92,2
שרשרת,398,203,133,132,1,1,7,66,14,43
שתולה,1045,178,118,117,1,1,35,23,33,18
שתולים,763,925,620,611,9,0,168,176,156,97
תאשור,2062,218,154,153,1,2,84,19,32,8
תדהר,2061,177,126,125,1,0,62,15,33,14
תובל,1172,277,182,179,3,9,114,11,30,4
תומר,3558,221,150,150,0,0,44,43,56,1
תושיה,1083,140,123,122,1,0,3,109,0,7
תימורים,163,457,334,333,1,0,147,14,148,3
תירוש,10,270,180,176,4,0,12,60,6,96
תל אביב - יפו,5000,373871,214688,211867,2821,4249,79892,35345,59532,18707
תל יוסף,84,348,231,231,0,0,156,11,59,0
תל יצחק,287,408,318,317,1,0,152,15,125,3
תל מונד,154,5800,4004,3965,39,2,1298,711,1417,319
תל עדשים,103,444,347,345,2,1,129,69,122,4
תל קציר,719,224,141,141,0,1,102,5,19,0
תל שבע,1054,5032,2269,2188,81,1468,333,28,233,58
תל תאומים,1283,206,105,105,0,0,11,44,23,25
תלם,3719,83,58,58,0,0,0,39,11,7
תלמי אליהו,1051,208,117,116,1,0,34,21,29,26
תלמי אלעזר,2003,419,303,302,1,0,111,73,99,3
"תלמי ביל""ו",2050,251,155,153,2,0,44,50,26,29
תלמי יוסף,1237,178,106,105,1,0,39,12,44,0
תלמי יחיאל,727,436,279,277,2,0,115,34,82,22
תלמי יפה,744,124,82,81,1,0,35,4,34,0
תלמים,814,436,290,282,8,0,16,94,19,149
תמרת,1244,1203,866,861,5,4,458,74,277,4
תנובות,2002,458,330,326,4,1,151,71,64,22
תעוז,752,350,237,229,8,0,41,78,44,55
תפרח,709,753,666,663,3,0,10,16,5,631
תקומה,665,358,285,282,3,0,49,165,31,24
תקוע,3563,827,625,622,3,0,12,553,10,31
תראבין א-צאנע (שב,970,556,74,70,4,53,5,4,3,1
תרום,778,345,238,236,2,2,6,139,25,57
