שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
כוכב מיכאל,824,626,461,0,461,0,220,63,152,5
כורזים,1252,327,233,1,232,1,113,49,52,0
כחל,1210,274,197,0,197,1,108,29,51,1
כיסופים,840,249,142,1,141,2,103,11,20,0
כישור,1153,99,76,1,75,2,43,10,13,5
כליל,1183,301,224,0,224,39,134,11,8,1
כלנית,1229,164,122,0,122,0,0,92,3,25
כמאנה,1331,845,446,14,432,278,14,6,3,104
כמהין,1291,201,104,0,104,1,38,31,11,1
כמון,1201,440,339,1,338,4,221,31,60,2
כנף,4028,227,171,0,171,0,46,52,64,0
כנרת (מושבה),63,449,316,4,312,1,112,87,82,1
כנרת (קבוצה),57,610,409,1,408,2,213,46,123,2
כסיפה,1059,6039,3059,68,2991,2719,61,31,2,130
כסלון,859,258,183,0,183,0,24,83,10,57
כסרא-סמיע,1296,4604,3443,36,3407,110,534,1527,837,387
כעביה-טבאש-חג'אג',978,2872,1627,24,1603,788,205,144,220,222
כפר אביב,857,500,395,4,391,0,140,84,114,26
כפר אדומים,3638,1810,1490,2,1488,2,137,1031,91,15
כפר אוריה,364,488,380,1,379,3,152,117,67,13
כפר אחים,690,447,355,2,353,0,91,133,103,10
כפר ביאליק,220,406,288,3,285,0,122,52,90,4
"כפר ביל""ו",177,813,633,3,630,2,314,82,186,4
כפר בלום,357,602,398,3,395,1,229,59,81,3
כפר בן נון,2010,435,353,2,351,5,145,79,94,1
כפר ברא,633,1704,1024,12,1012,782,188,17,11,0
כפר ברוך,132,293,231,0,231,0,78,58,72,5
כפר גדעון,106,156,114,0,114,0,6,22,5,64
כפר גלים,427,83,56,0,56,0,18,22,14,0
כפר גליקסון,310,263,190,1,189,0,131,14,34,0
כפר גלעדי,76,536,353,3,350,0,238,26,59,3
כפר דניאל,707,429,351,0,351,1,181,42,107,2
כפר האורנים,3796,1276,1062,3,1059,2,332,215,446,16
כפר החורש,192,425,323,0,323,3,215,22,61,3
כפר המכבי,254,286,198,1,197,1,107,19,64,2
כפר הנגיד,582,737,579,2,577,0,216,146,184,6
כפר הנוער הדתי,890,57,29,0,29,0,1,22,0,5
כפר הנשיא,443,661,369,2,367,3,224,29,85,1
כפר הס,187,909,715,2,713,4,374,65,243,4
"כפר הרא""ה",217,668,570,1,569,0,22,450,24,23
"כפר הרי""ף",888,534,400,0,400,0,169,87,121,6
כפר ויתקין,190,1330,1065,4,1061,4,593,85,310,5
כפר ורבורג,320,690,554,1,553,1,272,94,151,8
כפר ורדים,1263,4435,3321,16,3305,22,1660,569,855,29
כפר זיתים,786,419,242,1,241,0,23,151,13,36
"כפר חב""ד",696,3461,2393,13,2380,3,4,238,4,802
כפר חושן,609,516,319,2,317,0,37,136,49,72
כפר חיטים,255,450,321,0,321,1,110,99,88,8
כפר חיים,193,417,337,4,333,2,168,30,115,3
כפר חנניה,1297,375,289,1,288,2,75,130,51,14
כפר חסידים א',112,501,396,2,394,0,93,174,83,26
כפר חסידים ב',889,124,92,2,90,0,11,55,20,4
כפר חרוב,4004,298,167,1,166,1,94,30,38,0
כפר טרומן,673,509,418,3,415,3,115,139,125,10
כפר יאסיף,507,6760,4502,27,4475,3997,227,99,67,39
כפר ידידיה,233,478,402,0,402,1,221,30,131,2
כפר יהושע,140,679,558,5,553,6,329,43,144,1
כפר יונה,168,12961,9321,64,9257,16,2245,3014,2550,772
כפר יחזקאל,85,648,516,1,515,1,271,63,144,0
כפר יעבץ,170,439,345,7,338,0,14,224,13,50
כפר כמא,508,2272,801,21,780,152,421,25,108,38
כפר כנא,509,11692,6995,93,6902,5670,651,114,90,327
כפר מונש,387,610,490,1,489,2,234,65,167,0
כפר מימון,1095,367,326,1,325,0,7,272,7,4
"כפר מל""ל",98,279,225,1,224,0,87,40,80,0
כפר מנדא,510,9653,7051,144,6907,5206,616,76,134,818
כפר מנחם,274,830,631,0,631,38,412,41,114,2
כפר מסריק,297,507,373,1,372,1,300,18,42,1
כפר מצר,512,1439,734,10,724,457,107,15,22,109
כפר מרדכי,764,419,335,0,335,1,190,31,87,0
כפר נטר,316,676,540,3,537,2,241,74,190,3
כפר סאלד,345,431,315,2,313,3,215,17,52,0
כפר סבא,6900,72648,52072,413,51659,161,17433,15415,13133,2166
כפר סילבר,107,100,56,0,56,0,15,21,16,0
כפר סירקין,249,844,674,7,667,2,269,102,234,8
כפר עזה,845,640,492,0,492,6,222,35,206,1
כפר עציון,3488,399,326,3,323,0,30,229,8,3
כפר פינס,189,339,293,2,291,0,5,234,12,5
כפר קאסם,634,11756,9426,64,9362,5894,3349,22,15,33
כפר קיש,388,333,229,1,228,0,92,49,73,2
כפר קרע,654,10487,7044,70,6974,6169,341,47,268,10
כפר ראש הנקרה,579,856,628,0,628,4,306,116,160,8
כפר רוזנואלד (זרע,1130,192,126,2,124,0,19,53,23,22
כפר רופין,295,400,270,1,269,1,170,20,62,1
כפר רות,1166,185,152,0,152,0,53,39,40,0
כפר שמאי,605,280,179,0,179,0,11,105,13,36
כפר שמואל,743,522,430,2,428,0,218,94,98,5
כפר שמריהו,267,1698,1144,14,1130,3,477,190,395,11
כפר תבור,47,2519,1853,7,1846,5,731,467,479,56
כפר תפוח,3572,620,504,3,501,0,0,319,2,16
כרכום,1285,428,299,0,299,1,128,66,77,8
כרם בן זמרה,664,353,250,0,250,1,21,151,43,25
כרם יבנה (ישיבה),1094,151,137,0,137,0,0,99,0,26
"כרם מהר""ל",580,564,430,2,428,4,205,94,101,1
כרם שלום,1085,87,38,2,36,0,19,10,0,0
כרמי יוסף,1264,1429,1112,3,1109,4,503,195,343,6
כרמי צור,3766,443,384,1,383,0,0,310,2,13
כרמיאל,1139,39592,23372,432,22940,239,4809,10565,4276,1364
כרמיה,768,444,312,0,312,0,163,63,52,9
כרמים,1198,111,87,0,87,1,39,24,18,0
כרמל,3656,243,208,0,208,0,0,184,0,1
לבון,1207,314,242,0,242,0,95,62,77,2
לביא,585,517,391,1,390,1,32,297,10,7
לבנים,1230,307,214,1,213,1,55,71,56,16
להב,2023,375,290,1,289,0,211,15,50,4
להבות הבשן,380,567,387,0,387,2,285,35,39,4
להבות חביבה,715,392,291,0,291,1,207,21,57,1
להבים,1271,4547,3498,9,3489,30,1337,858,1058,45
לוד,7000,51957,28921,512,28409,4541,3000,12292,2460,3752
לוזית,52,295,211,1,210,1,24,72,13,88
לוחמי הגיטאות,595,435,330,1,329,0,231,20,63,1
לוטם,1171,351,249,0,249,1,140,21,60,1
לוטן,1255,119,73,1,72,2,51,6,8,0
לימן,674,479,363,2,361,1,84,140,118,4
לכיש,24,458,378,1,377,1,214,34,100,1
לפיד,1310,1578,1197,3,1194,3,432,304,377,11
לפידות,1173,130,88,1,87,0,15,35,11,17
לקיה,1060,5338,3410,51,3359,3265,31,17,5,12
מאור,2055,714,555,2,553,0,187,162,140,17
מאיר שפיה,102,99,52,0,52,0,18,14,12,0
מבוא ביתר,771,364,262,0,262,1,70,107,59,6
מבוא דותן,3569,241,139,3,136,0,13,91,14,2
מבוא חורון,3709,832,748,0,748,0,4,516,3,97
מבוא חמה,4204,347,220,0,220,1,133,28,41,0
מבוא מודיעים,1141,185,118,0,118,0,5,72,3,12
מבועים,1080,793,539,4,535,0,123,192,141,50
מבטחים,829,360,220,1,219,0,22,102,33,46
מבקיעים,573,284,187,2,185,0,42,66,40,18
מבשרת ציון,1015,18404,13192,76,13116,60,4118,4507,2721,876
מג'ד אל-כרום,516,8381,6123,31,6092,5436,433,12,33,135
מג'דל שמס,4201,505,103,0,103,1,13,72,8,8
מגאר,481,13337,5117,156,4961,1854,821,779,439,968
מגדים,689,753,568,3,565,2,159,161,136,54
מגדל,65,1187,742,3,739,3,100,333,60,182
מגדל העמק,874,20169,12374,227,12147,17,1411,5861,1426,2405
מגדל עוז,3561,252,178,1,177,0,5,164,1,1
מגדלים,3751,111,69,2,67,0,3,40,7,1
מגידו,586,546,435,3,432,3,253,56,103,2
מגל,375,683,573,2,571,0,336,32,172,0
מגן,695,460,318,2,316,5,248,10,37,0
מגן שאול,1155,314,215,5,210,0,39,96,51,9
מגשימים,722,646,498,0,498,1,159,133,165,5
מדרך עוז,2029,484,330,2,328,0,43,163,72,30
מדרשת בן גוריון,1140,875,648,0,648,5,415,78,108,3
מודיעין עילית,3797,20927,18979,115,18864,1,19,413,15,17934
מודיעין-מכבים-רעו,1200,50968,40128,174,39954,57,11194,13842,11703,1037
מולדת,269,672,522,3,519,1,300,58,135,5
מוצא עילית,208,695,479,1,478,11,253,68,111,3
מוקייבלה,635,1938,1053,38,1015,748,239,7,2,10
מורן,1163,292,218,2,216,0,113,32,44,6
מורשת,1178,706,593,1,592,0,6,486,8,17
מזור,606,731,564,1,563,1,196,113,224,2
מזכרת בתיה,28,7786,5853,32,5821,10,1827,1841,1512,265
מזרע,104,657,481,6,475,1,348,15,90,1
מזרעה,517,2510,1589,16,1573,1193,251,49,10,54
מחולה,3599,339,285,2,283,0,14,222,11,4
מחנה טלי,1418,162,98,1,97,0,30,29,31,1
מחנה יוכבד,1416,124,91,0,91,0,21,27,34,8
מחנה יפה,1415,222,150,0,150,0,45,48,50,2
מחנה מרים,1414,120,66,0,66,0,18,26,19,3
מחנה עדי,1417,181,129,3,126,0,35,36,51,1
מחנה תל נוף,1412,198,147,0,147,0,48,42,51,3
מחניים,308,416,285,2,283,1,174,36,47,4
מחסיה,776,283,185,1,184,0,8,110,14,43
מטולה,43,1333,872,4,868,4,362,195,186,9
מטע,822,454,322,0,322,15,103,120,48,18
מי עמי,1128,222,184,1,183,1,105,17,39,2
מיטב,2054,345,234,2,232,0,30,135,35,10
מייסר,649,1048,438,8,430,281,48,0,23,61
מירב,1282,253,206,0,206,0,9,182,5,2
מירון,607,394,266,0,266,0,2,141,5,93
מישר,731,444,357,1,356,2,153,65,112,4
מיתר,1268,5479,4184,21,4163,11,1389,1456,992,86
מכורה,3614,106,77,2,75,0,24,25,19,0
מכחול,1343,148,37,0,37,25,4,1,1,3
מכמורת,382,994,694,4,690,4,331,79,197,2
מכמנים,1202,233,190,0,190,0,101,15,52,1
מלאה,164,241,201,0,201,2,60,105,8,24
מלילות,2044,220,178,4,174,0,4,92,24,47
מלכיה,596,423,248,3,245,0,160,34,39,2
מנוחה,2030,336,226,1,225,0,8,139,24,42
מנוף,1174,493,361,0,361,3,213,31,104,1
מנות,1205,296,200,2,198,0,49,82,37,14
מנחמיה,48,902,572,3,569,0,127,257,97,39
מנרה,347,216,152,1,151,0,115,5,20,0
מנשית זבדה,994,656,393,4,389,254,51,1,63,16
מסד,1258,380,261,2,259,0,161,44,45,2
מסדה,263,254,157,0,157,0,103,8,34,0
מסילות,298,472,304,1,303,1,211,17,62,2
מסילת ציון,742,635,510,0,510,1,203,141,112,33
מסלול,748,375,261,0,261,1,60,88,76,19
מסעדה,4203,173,33,1,32,0,3,26,2,1
מסעודין אל-עזאזמה,939,5110,1904,51,1853,1735,23,15,3,22
מעברות,197,735,567,1,566,4,408,17,98,2
מעגלים,1082,834,639,1,638,0,12,384,44,133
מעגן,678,309,191,1,190,0,108,22,40,1
מעגן מיכאל,694,1444,1001,3,998,3,679,56,192,1
מעוז חיים,272,413,267,2,265,1,190,27,34,0
מעון,3657,236,170,0,170,0,1,139,0,3
מעונה,570,578,413,0,413,6,101,167,72,27
מעטפות חיצוניות,875,0,215789,2840,212949,5684,41222,84253,39313,20554
מעיליא,518,2266,1501,15,1486,1116,180,110,5,47
מעין ברוך,416,438,315,3,312,1,185,27,73,0
מעין צבי,290,597,426,2,424,0,243,33,129,2
מעלה אדומים,3616,25597,18193,144,18049,15,1291,11285,2047,1773
מעלה אפרים,3608,1178,598,11,587,0,114,276,55,31
מעלה גלבוע,1127,263,213,1,212,0,46,124,24,1
מעלה גמלא,4008,327,243,1,242,4,122,37,68,0
מעלה החמישה,286,423,277,0,277,2,184,23,52,3
מעלה לבונה,3752,346,261,0,261,0,1,160,2,11
מעלה מכמש,3651,704,618,2,616,0,2,454,1,34
מעלה עירון,1327,7774,4009,49,3960,3226,138,19,6,528
מעלה עמוס,3653,214,155,1,154,0,1,41,0,90
מעלה שומרון,3637,513,391,1,390,0,17,264,23,20
מעלות-תרשיחא,1063,17395,10663,245,10418,2041,1085,4451,877,1044
מענית,344,487,398,3,395,3,263,21,87,1
מעש,230,652,510,1,509,2,222,125,124,6
מפלסים,668,572,418,3,415,1,258,43,92,2
מצדות יהודה,3745,261,226,1,225,0,6,184,0,3
מצובה,325,721,482,2,480,0,237,81,118,4
מצליח,757,918,648,9,639,0,141,285,125,46
מצפה,58,136,105,2,103,0,42,29,24,1
"מצפה אבי""ב",1222,549,423,1,422,4,223,60,122,0
מצפה אילן,1370,96,92,0,92,0,0,86,3,0
מצפה יריחו,3576,1072,911,4,907,0,4,564,4,37
מצפה נטופה,1190,475,379,0,379,0,26,308,15,8
מצפה רמון,99,3468,2036,52,1984,26,457,1003,154,110
מצפה שלם,3610,145,105,1,104,2,66,11,19,0
מצר,648,424,314,0,314,2,269,11,24,1
מקווה ישראל,22,167,113,0,113,1,46,40,18,2
מרגליות,843,300,143,0,143,0,25,53,43,10
מרום גולן,4101,483,354,0,354,2,167,64,97,1
מרחביה (מושב),97,499,383,0,383,1,151,97,109,4
מרחביה (קיבוץ),66,791,597,3,594,4,274,133,152,4
מרכז שפירא,1098,1374,1125,5,1120,0,27,850,27,136
משאבי שדה,421,459,292,0,292,1,209,24,41,1
משגב דב,765,473,376,1,375,0,151,96,105,3
משגב עם,378,210,132,1,131,2,82,17,23,0
משהד,520,4568,2573,17,2556,2381,53,33,49,26
משואה,3605,134,97,0,97,0,10,68,11,0
משואות יצחק,620,465,387,1,386,0,23,316,19,1
משמר איילון,670,364,281,1,280,2,83,87,80,6
משמר דוד,563,204,153,0,153,2,69,24,44,0
משמר הירדן,732,400,279,3,276,0,55,133,53,14
משמר הנגב,395,709,465,2,463,0,332,45,72,3
משמר העמק,130,873,666,2,664,1,543,16,82,0
משמר השבעה,729,629,470,8,462,1,179,102,138,4
משמר השרון,194,483,327,0,327,2,233,23,49,2
משמרות,213,302,233,0,233,0,134,19,62,1
משמרת,425,576,465,1,464,2,180,67,181,3
משען,791,618,428,10,418,0,40,241,29,65
מתן,1315,2126,1697,10,1687,4,719,335,545,18
מתת,1184,134,93,0,93,1,63,10,12,1
מתתיהו,3648,283,196,0,196,0,3,21,1,166
נאות גולן,4551,335,219,1,218,2,84,59,61,1
נאות הכיכר,1124,189,133,1,132,0,63,23,41,0
נאות מרדכי,408,489,344,2,342,1,214,46,57,1
נאות סמדר,1197,309,191,0,191,3,120,19,32,1
נאעורה,524,1200,659,11,648,392,126,7,62,52
נבטים,396,518,400,3,397,2,111,161,91,16
נגבה,315,615,418,1,417,0,257,31,103,0
נהורה,309,840,585,2,583,0,112,241,97,100
נהלל,80,633,481,4,477,4,238,73,135,0
נהריה,9100,45654,27775,423,27352,109,5194,12764,5071,2255
נוב,4304,440,351,0,351,0,5,306,3,4
נוגה,55,360,221,3,218,1,23,96,69,18
נווה,1366,181,168,0,168,0,0,135,0,23
נווה אור,590,301,213,1,212,0,124,30,36,1
"נווה אטי""ב",4303,147,108,1,107,0,18,61,19,0
נווה אילן,405,613,423,0,423,2,191,87,105,3
נווה איתן,296,212,133,1,132,0,88,19,11,0
נווה דניאל,3725,1230,1028,3,1025,0,12,862,17,8
נווה זוהר,1057,72,28,0,28,0,7,9,7,2
נווה זיו,1314,368,285,2,283,1,79,94,85,10
נווה ים,312,219,162,0,162,0,68,43,23,0
נווה ימין,686,924,663,4,659,1,118,302,144,49
נווה ירק,858,823,683,2,681,2,242,102,292,3
נווה מבטח,827,469,357,0,357,1,159,89,91,3
נווה מיכאל,1071,327,238,2,236,0,14,125,23,55
נווה שלום,1259,162,127,0,127,76,50,0,1,0
נועם,15,313,214,2,212,0,4,119,7,77
נוף איילון,1333,1460,1258,0,1258,0,10,997,5,90
נופים,3790,368,256,2,254,0,13,191,14,11
נופית,1284,1857,1523,4,1519,4,630,281,546,5
נופך,257,318,223,0,223,1,41,105,32,30
נוקדים,3726,782,610,4,606,0,15,459,0,21
נורדיה,447,1675,1270,20,1250,0,450,340,401,11
נחושה,59,430,373,1,372,0,12,266,7,33
נחל עוז,844,334,230,0,230,2,143,21,47,1
נחלה,2045,351,264,1,263,0,43,111,32,37
נחליאל,3767,251,195,0,195,0,0,54,0,49
נחלים,449,850,731,5,726,0,18,577,29,21
נחם,809,384,336,4,332,2,16,164,28,84
נחף,522,6734,3842,59,3783,2915,153,37,188,445
נחשולים,433,493,377,1,376,1,229,28,102,0
נחשון,777,384,292,0,292,4,221,14,34,1
נחשונים,705,298,210,1,209,0,136,18,46,0
נטועה,1147,228,154,2,152,0,27,57,29,36
נטור,4014,152,121,1,120,0,20,74,19,0
נטעים,174,466,376,3,373,1,150,81,113,2
נטף,1254,316,234,1,233,8,177,15,19,0
ניין,523,1062,791,9,782,252,500,5,7,12
"ניל""י",3655,640,488,6,482,0,46,285,103,12
ניצן,351,719,560,3,557,1,6,437,12,19
ניצן ב',1419,1360,993,8,985,0,17,692,35,109
ניצני סיני,1280,245,188,0,188,1,64,64,41,1
ניצני עוז,851,662,493,5,488,1,153,151,120,11
ניצנים,359,359,269,1,268,1,159,14,81,1
ניר אליהו,808,339,239,2,237,1,172,14,43,0
ניר בנים,553,511,390,4,386,0,197,51,124,1
ניר גלים,720,499,439,2,437,0,14,355,14,14
ניר דוד (תל עמל),256,560,433,2,431,0,342,7,60,0
"ניר ח""ן",11,344,237,0,237,1,66,98,46,4
ניר יפה,165,363,265,1,264,0,76,94,65,11
ניר יצחק,402,564,389,3,386,6,321,6,36,2
ניר ישראל,699,536,414,1,413,0,192,87,112,4
ניר משה,2047,362,255,0,255,2,99,75,51,12
ניר עוז,69,339,256,1,255,11,179,15,23,0
ניר עם,348,330,192,3,189,2,115,7,48,3
ניר עציון,769,418,292,3,289,3,31,217,18,4
ניר עקיבא,2048,339,243,4,239,0,60,80,32,29
ניר צבי,331,865,685,4,681,3,307,100,218,5
נירים,602,379,269,0,269,2,214,9,37,3
נירית,1236,941,781,2,779,7,325,106,279,6
נירן,3620,68,50,0,50,2,46,0,1,0
נס הרים,825,538,380,3,377,3,69,178,83,24
נס ציונה,7200,28802,21555,203,21352,42,6608,6077,6285,1039
נעורים,186,159,75,1,74,0,26,18,3,4
נעלה,3787,644,512,2,510,1,92,282,85,11
"נעמ""ה",3713,118,76,0,76,1,15,30,20,2
נען,158,1183,900,0,900,2,617,61,189,3
נצאצרה (שבט),1041,313,247,4,243,227,0,13,0,2
נצר סרני,435,553,431,1,430,1,302,18,80,6
נצרת,7300,51059,28110,405,27705,25404,1120,370,313,179
נצרת עילית,1061,39281,20850,535,20315,2860,2988,9619,2560,611
נשר,2500,19042,11986,163,11823,50,2621,5106,2485,722
נתיב הגדוד,3555,142,81,0,81,0,23,32,17,1
"נתיב הל""ה",693,391,306,1,305,5,225,12,50,0
נתיב העשרה,1242,578,458,0,458,2,153,125,149,2
נתיב השיירה,792,416,304,0,304,1,88,104,84,14
נתיבות,246,18214,13349,147,13202,9,555,4945,293,6698
נתניה,7400,160406,93801,1107,92694,116,14804,41680,16454,12845
סאג'ור,525,2517,1339,23,1316,47,307,598,197,105
סאסא,578,461,327,0,327,1,266,15,35,0
סביון,587,3261,2216,12,2204,8,777,473,836,23
סגולה,2046,381,291,1,290,0,131,69,68,10
סואעד (חמרייה),942,95,73,0,73,48,5,15,0,2
סולם,526,1699,1094,24,1070,720,169,10,5,150
סוסיה,3756,478,382,1,381,1,0,301,1,5
סופה,1238,178,120,0,120,0,63,25,22,2
סח'נין,7500,17493,13347,99,13248,12733,231,129,24,50
סייד (שבט),1170,1386,519,3,516,423,25,9,2,50
סלמה,1245,1736,785,16,769,443,20,144,27,97
סלעית,3567,372,297,0,297,0,113,65,108,0
סמר,1156,266,167,1,166,5,126,8,16,0
סעד,419,588,471,1,470,1,81,309,33,0
סער,454,510,342,2,340,3,197,48,76,2
ספיר,1176,282,172,3,169,2,53,47,43,0
סתריה,610,729,580,2,578,4,282,82,149,8
ע'ג'ר,4501,1370,766,10,756,21,283,253,61,107
עבדון,892,443,307,3,304,1,42,114,38,94
עברון,376,618,457,3,454,1,337,16,69,4
עגור,794,270,193,0,193,2,15,96,25,33
עדי,1199,1261,940,7,933,1,313,232,341,6
עדנים,2035,283,225,0,225,0,81,38,85,0
עוזה,826,374,268,5,263,0,2,118,2,133
עוזייר,528,1536,579,7,572,508,16,3,5,37
עולש,737,679,535,3,532,0,191,108,186,15
עומר,666,6091,4525,22,4503,28,1775,1242,1191,59
עופר,810,376,289,2,287,9,82,85,60,6
עופרה,3617,1673,1418,1,1417,0,17,1205,7,11
עוצם,32,387,294,1,293,0,6,55,13,212
עוקבי (בנו עוקבה),957,209,134,0,134,117,10,5,0,1
עזר,1149,631,461,2,459,0,135,138,130,22
עזריאל,837,508,405,3,402,0,17,279,32,25
עזריה,711,683,498,2,496,0,59,263,67,78
עזריקם,817,797,575,3,572,0,81,275,72,97
עטאוונה (שבט),969,124,29,0,29,14,15,0,0,0
עטרת,3658,251,213,0,213,0,1,164,0,6
עידן,1175,240,149,0,149,0,51,38,51,0
עיילבון,530,3555,2636,26,2610,2025,305,147,59,26
עיינות,156,77,54,0,54,0,27,9,12,0
עילוט,511,4168,1936,57,1879,1380,233,202,3,43
עין איילה,687,635,503,1,502,1,225,79,164,3
עין אל-אסד,546,559,230,2,228,37,62,94,28,2
עין גב,273,446,279,2,277,0,175,39,42,2
עין גדי,2042,443,309,2,307,1,189,38,46,3
עין דור,436,773,498,1,497,1,347,33,81,2
עין הבשור,1240,628,493,2,491,6,212,105,136,3
עין הוד,74,406,288,2,286,9,177,30,27,2
עין החורש,167,650,511,2,509,2,406,11,76,0
עין המפרץ,289,645,505,1,504,4,431,9,40,1
"עין הנצי""ב",383,419,337,3,334,0,33,261,11,2
עין העמק,367,520,347,7,340,1,67,177,47,20
עין השופט,270,828,531,5,526,2,410,19,67,3
עין השלושה,676,329,197,9,188,1,119,22,41,0
עין ורד,157,961,802,2,800,8,408,73,266,2
עין זיוון,4503,213,148,0,148,0,65,22,44,0
עין חוד,1320,139,108,5,103,62,3,0,0,34
עין חרוד (איחוד),89,531,405,1,404,1,250,44,90,2
עין חרוד (מאוחד),82,677,478,4,474,1,287,68,85,3
עין יהב,806,468,375,3,372,2,159,35,153,1
עין יעקב,813,582,433,3,430,0,90,170,72,61
עין כרמל,426,456,375,5,370,1,227,28,98,1
עין מאהל,532,7224,4433,65,4368,4019,94,114,23,87
עין נקובא,521,1231,611,40,571,331,47,8,3,163
עין עירון,223,361,296,0,296,6,141,24,90,0
עין צורים,622,749,627,2,625,0,36,435,23,18
עין ראפה,514,520,263,8,255,153,82,3,4,5
עין שמר,139,578,423,0,423,5,307,21,62,3
עין שריד,880,964,703,2,701,4,228,199,171,65
עין תמר,1251,124,96,0,96,0,34,32,28,0
עינת,871,482,408,2,406,1,262,18,102,0
עכו,7600,39907,22328,468,21860,4727,2189,8882,1857,2776
עלומים,1146,318,268,0,268,0,17,208,18,4
עלי,3765,1711,1375,6,1369,1,13,1154,9,44
עלי זהב,3727,397,281,3,278,0,12,217,22,9
עלמה,688,526,330,3,327,0,4,239,17,54
עלמון,3715,751,577,3,574,0,48,365,100,9
עמוקה,1212,167,116,2,114,1,80,13,13,1
עמינדב,779,589,442,1,441,2,152,170,78,17
עמיעד,385,416,275,1,274,1,198,17,45,1
עמיעוז,318,201,121,2,119,0,10,48,23,36
עמיקם,773,430,325,1,324,1,121,78,97,2
עמיר,319,471,346,2,344,2,266,13,36,0
עמנואל,3660,1768,1305,5,1300,0,8,88,1,900
עמקה,708,467,333,6,327,1,18,196,29,14
ענב,3712,434,358,0,358,0,1,232,9,45
עספיא,534,7817,3897,57,3840,708,684,782,1504,50
עפולה,7700,34280,19614,336,19278,34,2786,10179,2625,1887
עץ אפרים,3778,601,478,0,478,0,29,304,51,43
עצמון שגב,917,775,587,0,587,3,351,71,146,5
עראבה,531,13256,7939,53,7886,7537,161,73,28,38
עראמשה,1246,881,240,6,234,77,83,7,10,50
ערב אל נעים,1335,341,234,10,224,90,4,110,1,1
ערד,2560,20736,11609,241,11368,78,2180,4527,1740,1749
ערוגות,593,607,475,2,473,0,187,110,135,11
ערערה,637,10824,5751,42,5709,5117,298,11,48,156
ערערה-בנגב,1192,5796,3798,14,3784,3684,21,28,11,17
עשרת,591,820,631,2,629,1,293,100,208,1
עתלית,53,4407,2941,22,2919,17,745,1038,702,225
עתניאל,3748,351,300,0,300,0,3,207,2,8
פארן,1151,349,257,0,257,0,131,26,93,0
פדואל,3768,658,589,0,589,0,3,506,0,9
פדויים,750,283,181,0,181,0,11,98,17,35
פדיה,838,500,363,4,359,0,45,209,40,47
פוריה - כפר עבודה,1104,256,152,1,151,0,10,91,26,13
פוריה - נווה עובד,1105,870,550,5,545,0,73,319,57,48
פוריה עילית,1313,617,372,10,362,1,96,152,76,9
פוריידיס,537,7192,3062,45,3017,2093,397,469,12,7
פורת,767,772,463,4,459,0,57,125,85,156
פטיש,749,561,391,1,390,1,32,135,52,151
פלמחים,597,544,376,2,374,2,272,23,59,1
פני חבר,3723,163,136,0,136,0,0,105,0,2
פסגות,3659,901,798,4,794,0,3,710,2,7
פסוטה,535,2347,1151,12,1139,783,242,12,26,66
"פעמי תש""ז",2059,303,207,3,204,0,27,55,19,79
פצאל,3615,224,157,0,157,0,34,77,31,1
פקיעין (בוקייעה),536,3813,2412,29,2383,1011,302,863,97,90
פקיעין חדשה,281,256,169,1,168,0,12,52,10,80
פרדס חנה-כרכור,7800,25286,16520,162,16358,95,4824,5779,3156,1108
פרדסיה,171,4689,3545,15,3530,7,1129,869,1173,115
פרוד,599,270,177,1,176,1,117,23,15,3
פרזון,2053,298,198,1,197,0,39,113,21,8
פרי גן,1231,130,92,0,92,0,19,39,21,3
פתח תקווה,7900,168776,112308,1114,111194,123,20977,46975,22189,12319
פתחיה,839,610,437,8,429,0,73,180,109,52
צאלים,413,363,253,1,252,4,173,25,38,0
צביה,1180,241,185,3,182,1,95,7,56,0
צובה,465,591,403,6,397,0,304,23,55,1
צוחר,1136,337,193,0,193,0,31,73,41,23
צופים,3791,904,719,1,718,0,66,477,68,24
צופית,198,749,589,0,589,1,275,94,191,0
צופר,1150,281,217,2,215,0,80,31,98,0
צוקי ים,1102,143,105,1,104,1,50,19,27,0
צוקים,1262,107,93,1,92,1,42,13,20,0
צור הדסה,1113,3439,2638,9,2629,26,847,848,660,60
צור יצחק,1345,1173,997,0,997,0,347,219,359,20
צור משה,276,1660,1342,5,1337,5,567,205,483,10
צור נתן,1148,207,155,0,155,2,41,53,52,2
צוריאל,774,244,171,0,171,0,25,82,17,28
צורית,1221,564,452,1,451,2,219,75,136,1
ציפורי,613,544,416,0,416,3,166,86,136,1
צלפון,796,548,386,0,386,0,39,236,31,52
צנדלה,636,1030,448,5,443,413,25,2,2,0
צפריה,594,432,365,0,365,0,15,264,21,26
צפרירים,1079,266,169,1,168,6,66,38,22,17
צפת,8000,20991,12788,159,12629,62,793,5186,681,3983
צרופה,612,613,469,4,465,2,108,192,71,46
צרעה,567,806,553,1,552,30,397,29,76,1
קבועה (שבט),1234,538,170,5,165,99,3,2,0,59
קבוצת יבנה,334,612,459,1,458,1,78,287,58,2
קדומים,3557,2302,1972,10,1962,0,8,1607,8,39
קדימה-צורן,195,11883,8845,54,8791,11,2643,2332,2662,628
קדמת צבי,4025,303,199,2,197,0,92,42,49,0
קדר,3781,698,515,3,512,0,43,335,69,31
קדרון,615,1045,838,4,834,0,378,108,300,9
קדרים,1211,105,74,0,74,1,48,4,16,0
