שם ישוב,סמל ישוב,ב ז ב,מצביעים ,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
ברוש,2060,166,124,0,124,0,51,17,1,53
ברכה,3710,377,328,3,325,0,5,295,0,18
ברכיה,746,512,454,10,444,0,16,197,13,213
ברעם,667,434,338,3,335,1,313,1,11,2
ברק,141,218,159,3,156,0,83,47,9,11
ברקאי,617,391,264,2,262,4,235,6,5,2
ברקן,3654,742,541,9,532,0,28,369,100,8
ברקת,2038,535,506,2,504,0,1,128,70,305
בת הדר,1323,103,95,0,95,1,46,22,15,9
בת חפר,1319,1722,1549,8,1541,2,816,276,305,63
בת חצור,1401,123,62,6,56,0,23,4,13,10
בת ים,6200,121332,84737,2031,82706,212,23110,24012,16610,12974
בת עין,3794,186,160,0,160,0,3,76,0,78
בת שלמה,33,203,166,1,165,0,65,45,34,11
ג'דיידה-מכר,1292,8088,6205,157,6048,4860,539,64,261,192
ג'ולס,485,2712,2151,54,2097,9,1199,412,96,311
ג'לג'וליה,627,3227,2651,71,2580,2191,316,23,26,3
ג'נאביב,976,184,76,8,68,50,4,6,0,2
ג'סאר א-זרקא,541,4429,3001,140,2861,1262,1054,49,103,253
ג'ש-גוש חלב,487,1781,1385,41,1344,910,230,73,77,22
ג'ת,628,4398,2596,90,2506,1713,457,81,96,122
גאולי תימן,872,277,227,5,222,3,35,100,61,16
גאולים,379,445,373,10,363,0,169,81,50,45
גאליה,853,576,482,11,471,0,241,79,105,10
גבולות,352,230,151,0,151,2,133,3,8,0
גבים,424,280,212,3,209,2,183,3,18,0
גבע,86,448,375,2,373,2,343,6,16,0
גבע בנימין,3763,333,270,4,266,1,37,144,40,35
גבע כרמל,683,363,308,5,303,1,204,45,34,7
גבעולים,2014,166,141,1,140,0,4,59,12,65
גבעון החדשה,3644,702,583,10,573,0,92,280,153,19
גבעת אבני,1293,810,686,7,679,1,312,150,142,54
גבעת אלה,1288,899,769,1,768,3,548,49,134,7
גבעת ברנר,147,1282,945,17,928,5,816,25,49,8
גבעת השלושה,870,365,310,3,307,0,258,4,27,3
גבעת זאב,3730,5896,4979,38,4941,5,848,2173,1000,738
"גבעת ח""ן",207,248,218,1,217,0,171,20,19,0
גבעת חיים איחוד,2018,767,583,3,580,1,537,7,21,1
גבעת חיים מאוחד,173,798,651,8,643,1,569,19,32,1
גבעת יואב,4021,297,233,1,232,0,87,28,96,4
גבעת יערים,787,459,403,4,399,0,89,187,61,43
גבעת ישעיהו,919,185,150,3,147,0,59,33,31,18
"גבעת כ""ח",802,336,267,6,261,0,26,91,66,71
"גבעת ניל""י",360,243,199,2,197,0,26,124,24,13
