שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
בית קשת,365,402,293,3,290,2,229,33,19,0
בית רבן,848,302,251,0,251,0,3,178,2,11
בית רימון,1162,283,241,0,241,0,23,194,9,1
בית שאן,9200,13392,9408,97,9311,34,494,6239,287,1833
בית שמש,2610,50926,34382,504,33878,9,1274,14612,881,14449
בית שערים,248,470,408,0,408,0,226,94,86,0
בית שקמה,747,526,350,5,345,0,19,268,10,24
ביתן אהרן,252,137,93,1,92,0,53,16,21,1
ביתר עילית,3780,19103,16125,149,15976,1,31,388,8,13251
בלפוריה,94,340,272,1,271,0,122,92,41,3
בן זכאי,760,564,456,1,455,1,12,312,8,26
בן עמי,712,534,431,1,430,1,199,148,62,11
בן שמן (כפר נוער),1084,237,167,0,167,0,81,57,26,3
בן שמן (מושב),2013,569,460,1,459,1,221,156,68,4
בני ברק,6100,101291,81065,2444,78621,17,1165,6874,508,65504
בני דקלים,1368,225,203,2,201,0,3,153,0,0
בני דרום,592,356,309,1,308,0,21,260,11,0
בני דרור,386,1034,746,5,741,2,417,199,109,1
בני יהודה,4015,867,621,2,619,3,198,245,116,13
בני נצרים,1363,187,170,0,170,0,1,48,0,3
בני עטרות,448,595,497,0,497,2,285,114,73,7
"בני עי""ש",1066,5747,4047,75,3972,1,300,2851,334,230
בני ציון,418,807,663,1,662,1,376,141,127,5
בני ראם,588,801,654,3,651,0,8,410,20,88
בניה,685,610,529,3,526,0,250,154,107,0
בנימינה-גבעת עדה,9800,9165,7018,47,6971,14,3316,2240,1087,165
"בסמ""ה",1326,5446,3622,56,3566,3355,124,60,5,7
בסמת טבעון,944,4656,2393,39,2354,1894,206,186,8,20
בענה,483,4832,3824,11,3813,3671,60,40,1,38
בצרה,389,691,556,3,553,0,345,99,97,0
בצת,589,286,212,2,210,3,79,75,41,1
בקוע,864,440,355,1,354,0,59,237,17,22
בקעות,3612,142,115,0,115,0,24,63,21,1
בר גיורא,823,395,300,5,295,1,67,174,16,21
בר יוחאי,1191,423,337,1,336,0,3,215,1,56
ברוכין,3744,230,198,0,198,0,0,179,0,1
ברור חיל,428,674,467,0,467,2,312,89,52,1
ברוש,2060,248,187,2,185,0,33,111,12,21
ברכה,3710,953,818,2,816,3,4,705,1,5
ברכיה,746,696,596,5,591,0,6,253,8,33
ברעם,667,483,340,0,340,0,286,22,26,1
ברק,141,311,225,1,224,0,76,110,22,6
ברקאי,617,484,330,3,327,5,272,20,17,2
ברקן,3654,1180,898,2,896,2,75,711,71,3
ברקת,2038,971,853,0,853,0,6,509,7,82
בת הדר,1323,426,322,0,322,0,72,172,57,10
בת חן,1361,500,403,5,398,1,248,90,51,2
בת חפר,1319,3573,2831,13,2818,3,1283,844,562,24
בת ים,6200,124035,69206,1002,68204,137,10913,42716,6344,5396
בת עין,3794,703,525,1,524,0,3,262,4,23
בת שלמה,33,397,323,3,320,2,155,98,46,3
ג'דיידה-מכר,1292,12533,8669,61,8608,8210,249,59,7,28
ג'ולס,485,4233,2532,35,2497,145,1058,956,126,131
ג'לג'וליה,627,5410,4440,16,4424,3995,394,29,3,1
ג'נאביב (שבט),976,327,125,3,122,65,11,9,12,7
ג'סר א-זרקא,541,7792,4526,23,4503,3544,290,64,196,392
ג'ש (גוש חלב),487,2309,1374,14,1360,954,194,180,7,15
ג'ת,628,7038,3708,31,3677,3483,147,14,3,23
גאולי תימן,872,273,206,0,206,16,21,147,9,9
גאולים,379,647,528,6,522,0,165,262,56,25
גאליה,853,814,640,0,640,1,285,196,136,2
גבולות,352,273,165,4,161,1,107,33,13,0
גבים,424,353,269,0,269,0,198,45,24,0
גבע,86,513,389,2,387,1,344,17,18,0
גבע בנימין,3763,2743,2182,21,2161,2,73,1437,75,279
גבע כרמל,683,648,520,4,516,0,257,179,56,14
גבעולים,2014,258,216,4,212,0,5,180,2,10
גבעון החדשה,3644,1026,758,9,749,2,114,477,108,19
גבעות בר,1344,310,255,1,254,2,91,97,54,2
גבעת אבני,1293,1612,1203,6,1197,1,315,603,200,38
גבעת אלה,1288,1582,1231,2,1229,3,789,204,210,3
גבעת ברנר,147,1802,1364,6,1358,3,909,231,180,6
גבעת השלושה,870,449,348,1,347,0,251,58,28,2
גבעת זאב,3730,10109,7854,52,7802,6,631,4048,498,1926
"גבעת ח""ן",207,299,252,3,249,0,181,36,27,0
גבעת חיים (איחוד),2018,897,691,0,691,2,605,27,51,2
גבעת חיים (מאוחד),173,868,687,5,682,1,559,66,41,4
גבעת יואב,4021,434,345,2,343,0,138,132,51,2
גבעת יערים,787,874,683,2,681,4,197,372,45,35
גבעת ישעיהו,919,446,376,2,374,1,184,125,40,9
"גבעת כ""ח",802,610,461,0,461,0,61,291,50,29
"גבעת ניל""י",360,412,333,0,333,2,94,178,44,1
גבעת עוז,703,398,269,2,267,1,205,37,15,1
גבעת שמואל,681,16616,13288,53,13235,12,2518,8089,1283,707
גבעת שפירא,1077,210,174,1,173,4,96,31,41,0
גבעתי,793,592,446,4,442,0,78,266,44,24
גבעתיים,6300,45863,33727,241,33486,104,16746,10194,5183,610
גברעם,342,296,211,0,211,0,128,42,32,2
גבת,133,644,540,5,535,0,441,42,45,0
גדות,35,355,243,0,243,0,191,24,17,0
גדיש,145,259,197,5,192,0,7,155,3,24
גדעונה,442,254,190,3,187,0,37,109,13,16
גדרה,2550,15469,11879,105,11774,9,3166,5980,1607,428
גונן,852,342,244,0,244,1,174,32,23,2
גורן,755,351,264,4,260,0,29,161,8,59
גורנות הגליל,1219,159,107,0,107,0,24,54,7,19
גזית,457,584,436,0,436,2,364,32,31,0
גזר,370,356,191,0,191,2,146,27,12,1
גיאה,706,523,422,3,419,1,177,157,72,3
גיבתון,196,228,193,0,193,0,123,37,28,2
גיזו,1043,127,102,0,102,0,38,50,11,3
גילון,1204,860,672,1,671,1,371,152,141,0
גילת,736,878,671,1,670,0,81,477,46,14
גינוסר,262,519,372,6,366,1,236,71,37,1
גיניגר,92,536,382,1,381,2,289,55,26,1
גינתון,863,613,499,1,498,1,239,155,83,8
גיתה,1206,184,134,1,133,1,53,64,9,0
גיתית,3613,187,150,0,150,0,17,109,2,0
גלאון,393,388,264,2,262,1,209,21,28,0
גלגל,3606,132,82,0,82,0,18,42,22,0
גליל ים,346,318,271,2,269,4,197,32,31,4
גלעד (אבן יצחק),369,358,272,1,271,0,217,20,29,1
גמזו,745,631,531,1,530,0,18,410,11,30
גן הדרום,1072,304,264,0,264,0,106,108,40,3
גן השומרון,225,576,452,0,452,1,269,96,78,1
גן חיים,239,521,442,3,439,1,256,82,89,1
גן יאשיה,734,580,481,1,480,0,305,87,78,2
גן יבנה,166,14381,11099,71,11028,7,2458,5901,1555,548
גן נר,1274,1897,1409,7,1402,0,448,720,177,21
גן שורק,311,247,199,1,198,0,97,55,38,2
גן שלמה,144,379,304,3,301,1,251,19,26,0
גן שמואל,72,854,675,4,671,3,609,18,32,1
גנות,836,347,286,2,284,0,111,106,58,6
גנות הדר,549,600,494,1,493,0,177,194,109,4
גני הדר,1103,229,187,1,186,0,108,39,33,0
גני טל,1371,321,295,0,295,0,1,263,6,6
גני יוחנן,862,519,401,6,395,0,138,161,71,11
גני עם,218,200,160,0,160,1,90,31,31,1
גני תקווה,229,11599,9175,59,9116,11,3217,3258,1445,865
געש,842,580,456,4,452,0,396,20,29,0
געתון,463,462,312,2,310,2,246,23,28,1
גפן,39,252,197,3,194,1,5,141,3,37
גרופית,1129,293,187,2,185,0,130,31,22,0
גשור,4022,195,138,1,137,0,73,39,14,2
גשר,305,420,281,0,281,0,216,34,23,0
גשר הזיו,574,1116,825,6,819,1,424,252,133,3
גת (קיבוץ),340,471,332,1,331,2,247,43,33,0
גת רימון,128,195,152,0,152,0,70,52,25,2
דאלית אל-כרמל,494,11579,6790,124,6666,473,1682,3668,411,382
דבורה,146,219,163,2,161,0,74,54,26,4
דבוריה,489,6074,4512,8,4504,4421,38,25,1,11
דבירה,849,505,398,0,398,0,300,43,47,0
דברת,407,235,163,2,161,0,105,27,19,4
דגניה א',62,524,368,2,366,0,286,44,30,0
דגניה ב',79,526,407,3,404,0,303,51,41,0
"דוב""ב",1067,344,217,0,217,0,12,174,1,27
דולב,3747,725,611,3,608,0,6,536,0,1
דור,738,266,220,1,219,1,105,80,30,0
דורות,336,513,384,2,382,0,293,36,40,1
דחי,475,429,259,3,256,236,15,2,0,2
דייר אל-אסד,490,7130,5715,47,5668,5001,237,53,3,349
דייר חנא,492,6437,5339,23,5316,4975,155,124,11,38
דימונה,2200,26988,16395,284,16111,31,1334,10452,1419,2148
דישון,2063,299,204,1,203,0,35,143,7,13
דליה,300,670,522,0,522,2,454,20,40,1
דלתון,431,588,431,4,427,0,2,342,0,65
דמיידה,1317,268,188,3,185,174,4,2,0,2
דן,303,467,357,1,356,1,298,22,22,0
דפנה,302,554,444,2,442,1,306,70,49,1
דקל,1241,241,164,0,164,0,54,76,29,0
דריג'את,1349,394,287,2,285,199,62,19,0,1
האון,702,164,102,1,101,0,50,28,12,3
הבונים,675,288,208,0,208,1,153,33,17,0
הגושרים,356,562,414,0,414,0,264,92,45,4
הדר עם,191,447,376,0,376,1,230,67,67,2
הוד השרון,9700,39575,30748,144,30604,36,13885,9966,5124,875
הודיה,726,474,325,2,323,0,50,216,28,21
הוואשלה (שבט),1169,1264,521,6,515,466,34,2,2,1
הוזייל (שבט),956,973,310,2,308,286,10,5,1,1
הושעיה,1186,1200,934,0,934,0,62,706,142,4
הזורע,250,838,588,2,586,3,483,47,32,4
הזורעים,307,464,390,0,390,0,10,333,2,12
החותרים,434,503,399,1,398,0,298,33,49,4
היוגב,684,537,434,2,432,0,287,69,61,0
הילה,1208,442,343,1,342,1,238,40,41,1
המעפיל,377,571,440,2,438,0,343,39,48,5
הסוללים,677,637,504,1,503,3,310,95,75,5
העוגן,423,603,462,6,456,3,363,32,47,2
הר אדר,3769,2668,2135,10,2125,5,1015,671,388,17
הר גילה,3603,864,694,3,691,2,108,468,56,26
הר עמשא,1261,159,124,1,123,0,25,65,2,4
הראל,464,199,104,0,104,2,73,14,14,0
הרדוף,1249,360,292,2,290,9,261,6,14,0
הרצליה,6400,77395,54079,398,53681,106,21991,20016,8040,2107
הררית,1203,249,199,2,197,1,143,32,14,1
ורד יריחו,3639,173,136,1,135,0,23,91,12,4
ורדון,1133,185,150,2,148,1,35,92,9,8
זבדיאל,815,374,310,2,308,0,10,191,1,85
זוהר,44,272,200,1,199,0,18,119,15,32
זיקים,584,586,386,0,386,2,277,68,34,0
זיתן,788,790,661,7,654,0,65,449,32,80
זכרון יעקב,9300,15214,11711,44,11667,15,4699,3872,1635,1179
זכריה,799,686,554,0,554,0,44,434,14,40
זמר,1290,4088,2583,15,2568,2336,186,33,2,4
זמרת,1065,277,229,1,228,1,1,98,4,10
זנוח,816,366,277,4,273,0,10,206,12,35
זרועה,2064,223,173,2,171,0,12,127,4,14
זרזיר,975,4632,2254,20,2234,1410,486,236,26,29
זרחיה,818,432,355,0,355,1,4,239,3,68
ח'ואלד,1321,250,147,3,144,90,43,6,4,1
ח'ואלד (שבט),986,151,71,2,69,45,12,6,0,4
חבצלת השרון,235,344,225,6,219,0,115,57,33,7
חבר,1110,235,169,2,167,0,36,98,20,7
חברון,3400,271,231,0,231,0,2,111,2,1
חגור,717,657,560,0,560,1,225,204,112,8
חגי,3764,256,225,0,225,0,0,160,0,0
חגלה,205,454,380,2,378,0,278,50,41,1
חד-נס,4026,576,420,1,419,0,122,199,76,2
חדיד,618,567,470,3,467,0,49,309,32,52
חדרה,6500,69790,45279,553,44726,149,7963,27430,4396,3521
חולדה,160,515,432,1,431,2,265,83,72,1
חולון,6600,154550,103142,1078,102064,95,22712,54623,12760,8677
חולית,1239,124,81,0,81,0,36,28,11,2
חולתה,253,389,297,1,296,0,217,42,23,0
חוסן,662,633,494,2,492,0,85,326,24,51
חוסנייה,1332,437,271,8,263,251,8,1,0,3
חופית,115,703,552,1,551,2,385,74,82,4
חוקוק,374,406,282,2,280,4,204,42,21,0
חורה,1303,6037,3088,24,3064,2829,152,43,1,18
חורפיש,496,4086,2160,15,2145,202,405,1184,131,133
חורשים,355,273,184,0,184,1,121,32,26,1
חזון,1047,272,215,1,214,0,8,151,5,42
חיבת ציון,219,406,348,4,344,0,160,124,42,6
חיננית,3643,625,506,4,502,0,13,450,8,4
חיפה,4000,243274,151318,1758,149560,12466,44598,63764,16826,8236
