שם ישוב,סמל ישוב,בוחרים,מצביעים,כשרים,פסולים,Arabs,Left,Right,Center,Orthodox
בית עוזיאל,301,248,189,189,0,0,34,119,5,28
בית עזרא,756,434,378,373,5,0,195,145,7,26
בית עריף,604,418,352,348,4,0,13,219,67,46
בית קמה,598,299,198,195,3,4,173,9,9,0
בית קשת,365,260,188,183,5,1,170,7,3,1
בית רבן,848,143,89,89,0,0,3,69,2,15
בית רימון,1162,71,65,65,0,0,18,43,2,2
בית שאן,9200,10150,7782,7622,160,7,1015,4050,386,2032
בית שמש,2610,15393,12243,11994,249,21,1779,5247,1359,3323
בית שערים,248,294,233,231,2,0,165,53,11,0
בית שקמה,747,340,253,253,0,0,18,181,5,37
ביתן אהרן,252,382,295,294,1,1,188,76,21,5
ביתר עילית,3780,2597,2439,2427,12,0,3,296,7,2073
בלפוריה,94,199,175,174,1,0,111,34,25,2
בן זכאי,760,357,305,301,4,0,16,224,2,56
בן עמי,712,275,224,222,2,1,131,74,13,0
בן שמן )כפר נוער(,1084,285,205,202,3,1,151,37,8,4
בן שמן )מושב(,2013,287,214,213,1,1,135,58,15,4
בני ברק,6100,73268,59592,58822,770,49,4495,14811,2026,35252
בני דרום,592,219,197,195,2,0,12,175,6,1
בני דרור,386,208,190,187,3,0,129,44,13,0
בני יהודה,4015,539,426,424,2,0,174,125,117,8
בני עטרות,448,284,259,257,2,0,168,73,13,3
"בני עי""ש",1066,2874,2426,2375,51,4,251,709,1102,238
בני עצמון,5425,210,194,194,0,0,3,163,1,26
בני ציון,418,381,303,300,3,1,172,106,13,6
בני ראם,588,367,298,297,1,3,6,217,5,58
בניה,685,263,229,227,2,0,134,75,12,1
בנימינה,9800,3025,2442,2391,51,4,847,1098,150,243
בסמת טבעון,944,2498,1732,1675,57,767,608,43,3,47
בענה,483,2812,2170,2128,42,1443,533,56,14,4
בצרה,389,347,276,275,1,1,183,71,13,3
בצת,589,226,192,191,1,0,108,67,13,1
בקוע,864,329,291,286,5,0,50,140,17,79
בקעות,3612,108,77,77,0,0,31,38,3,2
בר גיורא,823,199,166,163,3,0,24,109,5,23
ברור חיל,428,475,343,340,3,0,319,11,8,0
ברוש,2060,181,139,135,4,0,24,64,3,43
ברטעה,639,1068,793,739,54,273,341,6,1,109
ברכה,3710,158,123,123,0,0,0,116,0,7
ברכיה,746,516,444,442,2,1,16,312,0,109
ברעם,667,410,304,302,2,0,291,3,7,1
ברק,141,267,211,209,2,0,101,67,19,20
ברקאי,617,399,260,258,2,4,247,3,3,1
ברקן,3654,612,497,483,14,2,27,393,47,4
ברקת,2038,483,451,445,6,0,1,406,5,28
בת חצור,1401,488,325,312,13,2,29,247,23,5
בת ים,6200,118819,85016,82666,2350,212,26946,34160,9496,9787
בת עין,3794,139,124,122,2,0,0,102,0,18
בת שלמה,33,196,160,159,1,0,81,60,6,9
ג'דיידה-מכר,1292,7255,5584,5415,169,3657,1196,135,13,231
ג'ולס,485,2516,2042,1987,55,8,1003,769,138,62
ג'לג'וליה,627,2877,2577,2545,32,2081,445,9,2,3
ג'נאביב,976,168,62,56,6,36,3,2,1,3
ג'סר א-זרקא,541,3883,2903,2756,147,774,1749,46,2,96
ג'ש )גוש חלב(,487,1600,1186,1155,31,612,482,15,1,12
ג'ת,628,4034,2809,2697,112,1865,599,130,1,6
גאולי תימן,872,246,216,210,6,3,33,145,18,7
גאולים,379,437,375,368,7,0,163,145,30,29
גאליה,853,514,435,427,8,1,261,111,48,2
גבולות,352,221,143,143,0,2,136,3,1,1
גבים,424,268,214,212,2,0,193,15,4,0
גבע,86,453,364,361,3,1,338,12,10,0
גבע בנימין,3763,243,211,209,2,0,41,150,2,15
גבע כרמל,683,333,275,268,7,0,179,65,13,10
גבעולים,2014,172,139,139,0,1,11,93,0,34
גבעון החדשה,3644,527,433,426,7,0,69,289,61,5
גבעת אבני,1293,604,519,513,6,0,246,190,38,36
גבעת אלה,1288,805,695,693,2,1,530,103,51,1
גבעת ברנר,147,1297,993,984,9,1,906,42,31,4
גבעת השלושה,870,352,285,275,10,0,250,16,9,0
גבעת זאב,3730,4190,3548,3521,27,3,611,2287,320,263
"גבעת ח""ן",207,234,203,201,2,0,169,20,12,0
גבעת חיים )איחוד(,2018,785,593,593,0,2,562,8,16,1
גבעת חיים )מאוחד(,173,838,669,663,6,0,599,30,28,2
גבעת יואב,4021,252,196,196,0,0,63,44,87,1
גבעת יערים,787,409,361,360,1,0,73,229,29,26
גבעת ישעיהו,919,176,136,136,0,0,59,65,0,9
"גבעת כ""ח",802,327,264,260,4,1,25,164,30,29
"גבעת ניל""י",360,205,166,162,4,0,11,126,3,12
גבעת עדה,50,1278,1041,1022,19,0,407,437,50,120
גבעת עוז,703,372,283,282,1,0,271,6,3,0
גבעת שמואל,681,7678,6018,5930,88,14,2408,2539,417,459
גבעתי,793,373,297,291,6,0,128,127,12,20
גבעתיים,6300,41612,32879,32354,525,84,17833,10688,2201,1011
גברעם,342,210,174,172,2,0,160,6,4,2
גבת,133,585,487,477,10,1,441,8,23,0
גדות,35,332,233,231,2,0,212,6,12,0
גדיד,5429,96,90,89,1,1,0,83,1,3
גדיש,145,256,209,204,5,0,10,136,1,55
גדעונה,442,108,80,78,2,0,4,65,3,4
גדרה,2550,5996,4808,4703,105,18,1223,2529,382,487
גונן,852,314,239,236,3,1,207,10,15,0
גורן,755,272,223,222,1,0,49,54,5,114
גורנות הגליל,1219,117,101,100,1,0,33,29,7,31
גזית,457,507,410,407,3,0,394,2,8,0
גזר,370,180,111,110,1,4,92,10,3,0
גיאה,706,304,232,230,2,0,153,64,10,3
גיבתון,196,186,161,161,0,1,118,33,7,0
גילון,1204,262,224,223,1,0,160,42,20,0
גילת,736,507,370,363,7,1,139,156,7,59
גינוסר,262,448,354,352,2,0,310,24,14,0
גיניגר,92,383,298,295,3,2,268,11,13,0
גינתון,863,317,252,249,3,0,168,59,18,2
גיתה,1206,121,106,104,2,0,39,27,33,1
גיתית,3613,73,57,57,0,0,19,29,5,1
גלאון,393,371,265,263,2,0,252,3,8,0
גלגל,3606,104,83,82,1,0,58,11,13,0
גליל ים,346,242,206,202,4,1,187,10,3,0
גמזו,745,280,215,213,2,1,4,157,4,47
גן אור,5431,93,85,83,2,0,0,80,2,1
גן הדרום,1072,254,201,196,5,0,60,122,11,2
גן השומרון,225,360,287,282,5,0,195,59,21,3
גן חיים,239,284,243,239,4,0,199,25,9,1
גן יאשיה,734,255,211,210,1,0,156,39,9,4
גן יבנה,166,4065,3433,3375,58,5,910,1650,331,421
גן נר,1274,507,511,503,8,3,177,257,47,14
גן שורק,311,142,129,129,0,0,85,31,7,3
גן שלמה,144,294,247,244,3,0,229,7,8,0
גן שמואל,72,904,652,640,12,3,597,21,15,2
גנות,836,272,236,233,3,2,118,95,13,5
גני טל,5424,185,173,173,0,0,1,169,1,2
גני יהודה,781,597,473,464,9,1,325,99,20,12
גני יוחנן,862,253,199,194,5,0,81,86,6,16
גני עם,218,183,156,154,2,3,88,42,13,2
גני תקווה,229,6846,5610,5543,67,4,2203,2069,350,854
גנים,3758,80,59,58,1,0,6,49,2,1
געש,842,466,369,369,0,0,353,5,8,2
געתון,463,382,279,278,1,0,266,4,7,1
גפן,39,199,160,157,3,0,2,122,0,32
גרופית,1129,217,138,137,1,1,122,7,6,0
גשור,4022,97,78,78,0,0,58,4,14,0
גשר,305,398,324,322,2,1,291,14,13,2
גשר הזיו,574,402,284,282,2,0,245,20,16,0
גת )קיבוץ(,340,423,304,299,5,0,278,13,5,1
גת רימון,128,169,125,123,2,0,82,27,5,3
דאלית אל-כרמל,494,7227,5073,4942,131,325,3444,751,11,313
דבורה,146,219,177,173,4,2,113,44,11,1
דבוריה,489,3688,3230,3169,61,2491,550,7,0,68
דבירה,849,256,216,216,0,2,204,5,4,0
דברת,407,254,190,189,1,0,143,12,33,0
דגניה א',62,460,378,376,2,0,331,15,29,1
דגניה ב',79,470,368,365,3,1,324,8,26,2
"דוב""ב",1067,249,212,212,0,0,32,115,2,61
דולב,3747,204,196,196,0,0,0,193,0,1
דור,738,156,129,122,7,0,85,32,5,0
דורות,336,431,318,315,3,2,280,11,12,1
דחי,475,247,87,84,3,22,59,1,1,0
דייר אל-אסד,490,3897,3526,3486,40,2120,1134,86,2,5
דייר חנא,492,3605,3204,3155,49,2620,326,74,5,54
דימונה,2200,22898,16309,15694,615,38,2797,6604,1265,4448
דישון,2063,243,197,191,6,0,30,118,20,17
דליה,300,615,485,485,0,0,468,9,7,1
דלתון,431,464,389,384,5,0,1,247,0,130
דן,303,412,321,321,0,0,298,6,17,0
דפנה,302,537,448,442,6,3,403,14,19,0
דקל,1241,330,201,197,4,1,62,78,36,8
האון,702,150,110,108,2,0,76,25,5,0
הבונים,675,189,124,124,0,0,108,13,3,0
הגושרים,356,440,342,335,7,1,283,23,24,1
הדר עם,191,256,209,202,7,0,152,37,12,1
הוד השרון,9700,20483,16186,15938,248,19,7180,6065,1199,1274
הודיה,726,425,317,306,11,0,90,149,34,20
הוואשלה,1169,613,406,398,8,385,1,3,1,2
הוזייל,956,762,316,309,7,186,91,17,1,3
הושעיה,1186,293,260,260,0,0,10,231,13,6
הזורע,250,838,662,652,10,2,611,15,18,5
הזורעים,307,289,245,239,6,0,9,213,2,14
החותרים,434,412,331,329,2,1,310,7,9,0
היוגב,684,420,353,352,1,0,246,70,28,0
הילה,1208,142,127,127,0,0,97,18,9,3
המעפיל,377,404,345,341,4,4,329,3,0,0
הסוללים,677,253,206,203,3,2,154,28,14,3
העוגן,423,522,403,400,3,2,386,7,5,0
הר אדר,3769,924,751,749,2,2,456,222,62,5
הר גילה,3603,195,168,167,1,0,72,72,17,6
הראל,464,118,52,51,1,3,41,3,3,0
הרדוף,1249,96,78,78,0,0,75,0,3,0
הרצליה,6400,66140,50966,50100,866,103,24317,17151,4125,3686
הררית,1203,117,87,86,1,0,57,15,10,1
ורד יריחו,3639,101,104,104,0,0,33,61,3,7
זבדיאל,815,295,246,245,1,0,3,145,3,94
זובידאת,999,124,77,73,4,29,30,2,0,2
זוהר,44,243,198,194,4,0,71,92,6,23
זיקים,584,315,211,209,2,0,199,8,1,0
זיתן,788,418,346,339,7,0,56,194,9,79
זכרון יעקב,9300,6019,4927,4847,80,9,2114,1578,243,847
זכריה,799,358,311,309,2,1,70,203,0,34
זלפה,640,1487,1132,1105,27,759,247,5,1,40
זמר,1290,2174,1674,1624,50,890,556,26,4,25
זמרת,1065,230,195,188,7,0,2,125,0,61
זנוח,816,256,212,211,1,0,16,141,2,48
זרועה,2064,145,111,107,4,0,2,78,0,27
זרזיר,975,2298,1592,1538,54,397,624,236,2,5
זרחיה,818,285,245,243,2,0,1,209,0,32
ח'ואלד,986,253,246,242,4,63,137,11,23,8
חבצלת השרון,235,382,289,288,1,0,154,86,13,30
חברון,3400,286,248,248,0,0,2,223,0,20
חג'אג'רה,977,457,332,314,18,180,95,4,0,1
חגור,717,321,271,268,3,0,118,117,17,11
חגי,3764,87,86,86,0,0,1,82,0,3
חגלה,205,206,176,174,2,0,142,17,10,0
חד-נס,4026,131,111,107,4,0,28,50,26,1
חדיד,618,356,300,294,6,0,18,237,15,20
חדרה,6500,46912,35723,34636,1087,120,10115,15118,4513,3905
חולדה,160,257,198,197,1,1,178,8,5,0
חולון,6600,133438,100814,98707,2107,170,37745,39106,8397,11335
חולתה,253,384,302,300,2,0,267,11,21,1
חומש,3642,112,90,87,3,0,15,62,8,2
חוסן,662,218,180,180,0,0,13,107,4,56
חופית,115,673,563,560,3,0,443,79,31,2
חוקוק,374,252,174,173,1,0,156,5,9,1
חורה,1303,837,585,565,20,290,193,40,4,5
חורפיש,496,2220,1759,1737,22,75,1004,572,2,80
חורשים,355,223,143,142,1,0,129,5,7,1
חזון,1047,290,242,238,4,0,8,181,1,44
חיבת ציון,219,308,267,266,1,0,112,129,17,4
חיננית,3643,131,115,113,2,0,6,103,4,0
חיפה,4000,215602,156021,152341,3680,6049,68313,47398,18336,7969
חלוץ,1272,84,75,73,2,0,46,16,9,1
חלמיש,3573,464,401,401,0,0,5,368,10,16
חלץ,820,362,293,288,5,0,71,159,4,52
חמאם,993,570,470,458,12,207,229,11,1,5
חמד,801,316,275,270,5,1,19,208,10,32
חמדיה,343,340,276,273,3,0,228,31,10,0
חמרה,3609,128,90,89,1,0,26,52,10,0
חניאל,807,374,301,298,3,0,201,70,15,5
חניתה,280,531,361,359,2,0,323,17,16,1
חספין,4005,339,284,284,0,0,0,278,1,5
חפץ חיים,363,255,215,211,4,0,6,166,2,34
חפצי-בה,90,395,312,302,10,1,282,4,15,0
חצב,700,488,381,370,11,1,137,177,11,38
חצבה,13,450,318,316,2,0,217,66,26,3
חצור הגלילית,2034,5449,4397,4268,129,5,594,2157,286,1061
חצור-אשדוד,406,521,381,380,1,0,367,2,6,1
חצר בארותיים,1409,412,297,289,8,0,17,252,15,3
חצרות חולדה,1402,249,186,182,4,3,6,139,3,25
חצרות חפר,1403,109,56,52,4,0,3,29,11,4
חצרות יסף,1404,603,407,396,11,5,55,248,60,11
"חצרות כ""ח",1405,294,180,165,15,2,16,74,61,5
חצרים,397,645,501,500,1,0,444,25,27,0
חרב לאת,422,245,193,193,0,0,106,72,14,1
